floor,username,content,reply_time
1楼,yaoyin1833,,2019-04-26 15:59
2楼,muzili314,速度啊,2019-04-26 16:00
3楼,yaoyin1833,顶顶顶！,2019-04-26 16:00
4楼,yaoyin1833,顶顶顶！,2019-04-26 16:01
5楼,yaoyin1833,顶顶顶！,2019-04-26 16:01
6楼,yaoyin1833,顶顶顶！,2019-04-26 16:02
7楼,yaoyin1833,顶顶顶！,2019-04-26 16:03
8楼,yaoyin1833,顶顶顶！,2019-04-26 16:04
9楼,yaoyin1833,,2019-04-26 16:07
10楼,yaoyin1833,顶顶顶！,2019-04-26 16:08
11楼,正东2,华夏军占领区就这么点大,2019-04-26 16:09
12楼,列那119,潼川府路也就是梓州路，已经在黑旗手里了。,2019-04-26 16:20
13楼,真·猎人,帮顶,2019-04-26 16:21
15楼,日啖红提二枚,除了上次说的黑旗势力范围之外，大巴山以南都不能算金国势力范围，它要能越过大巴山也不用从剑阁打过来了,2019-04-26 16:53
16楼,日啖红提二枚,另外，既然大理都画上了，吐蕃也画上吧，虽然书中只是个路人角色,2019-04-26 16:58
17楼,日啖红提二枚,还有，黑金形势图啥时候更啊,2019-04-26 17:01
18楼,想象哭泣123,顶顶顶,2019-04-26 17:40
19楼,爱我猪嗨,顶顶顶！,2019-04-26 19:16
20楼,Luisevian,这么说吧，要是置顶，你的贴子基本就没人看了,2019-04-26 19:35
21楼,z_henry,最新几篇 写到了汉人将领当内应，武朝气数已尽，十几年过去了弑君影响越来越小起来。下次更新估计从四川到湖南，整个西南和中南都要涂成黑旗了。,2019-04-26 19:50
22楼,xyzsb2333,辛苦,2019-04-27 01:53
23楼,黄李魚丶,不错,2019-04-27 02:34
24楼,acayyy316,要是我就不打金国了，放走这10多万人，把外面的部队集结起来，南下干掉大理，安心发展几年，搞他几万燧发枪的部队，上百门六寸阿姆斯特朗炮，平A过去就完了,2019-04-27 03:00
25楼,reefs2010,星星之火，可以燎原,2019-04-27 07:47
26楼,小小强基,牛皮，辛苦了,2019-04-27 07:54
27楼,鲡景,善,2019-04-27 08:20
28楼,真的没钱玩游戏,顶,2019-04-27 08:23
29楼,悲歌还是断肠,辛苦了，顶顶,2019-04-27 09:37
30楼,厚煌先生,dini顶,2019-04-27 09:46
31楼,WINGLOK水瓶,利害利害， 不過我們還可以有動態圖像，以年或半年為單位。,2019-04-27 11:32
